Report Number,Report Date,Occurred From,Occurred To,Address,City,State,ZIP,Latitude,Longitude,Offense,NIBRS Code,Office Status,Reporting Officer Name,District,(9) Location Type,(8a) Bias Motivated Crime
23-06616,12/17/2023 1638,12/17/2023 1253,12/18/2023 1253,1300  CHERRY  ,KANSAS CITY,MO,64106,,,DAMAGE TO COUNTY PROPERTY,290,INCIDENT,DEP. M. BRIGGS,,15,88
23-06617,12/18/2023 1356,,,31107 NE E STONY POINT SCHOOL RD  ,GRAIN VALLEY,MO,64029,,,INFORMATION REPORT,,INCIDENT,Dep. J. Berryman,,,
23-06617,12/18/2023 1356,,,31107 NE E STONY POINT SCHOOL RD  ,GRAIN VALLEY,MO,64029,,,INFORMATION REPORT,,INCIDENT,Dep. J. Berryman,,,
23-06618,12/18/2023 1427,12/13/2023 1200,12/18/2023 1400,1502  MARSH AVE  ,BLUE SUMMIT,MO,64126,,,STEALING - MOTOR VEHICLE/WATERCRAFT/AIRCRAFT,240,INVESTIGATIVE,DEP. C. STEWART,5,41,88
23-06618,12/18/2023 1427,12/13/2023 1200,12/18/2023 1400,1502  MARSH AVE  ,BLUE SUMMIT,MO,64126,,,STEALING - MOTOR VEHICLE/WATERCRAFT/AIRCRAFT,240,INVESTIGATIVE,DEP. C. STEWART,5,41,88
23-06619,12/18/2023 1455,12/18/2023 1455,12/18/2023 1534,1011  LAKESHORE DR  ,OAK GROVE,MO,,,,DUMPING PROHIBITED,,INCIDENT,DEP. T. HERRMANN,3,,
23-06619,12/18/2023 1455,12/18/2023 1455,12/18/2023 1534,1011  LAKESHORE DR  ,OAK GROVE,MO,,,,DUMPING PROHIBITED,,INCIDENT,DEP. T. HERRMANN,3,,
23-06620,12/18/2023 1637,12/16/2023 1130,12/16/2023 1200,1015 N BURNLEY RD  ,BUCKNER,,,,,ABUSE OF CHILD,13B,INVESTIGATIVE,DEP. C. STEWART,,20,88
23-06620,12/18/2023 1637,12/16/2023 1130,12/16/2023 1200,1015 N BURNLEY RD  ,BUCKNER,,,,,ABUSE OF CHILD,13B,INVESTIGATIVE,DEP. C. STEWART,,20,88
23-06621,12/18/2023 1844,12/18/2023 1844,12/18/2023 1930,5395  40 HWY  ,BLUE SPRINGS,MO,64015,,,ALARM,,INCIDENT,Dep. K. Ford,,,
23-06621,12/18/2023 1844,12/18/2023 1844,12/18/2023 1930,5395  40 HWY  ,BLUE SPRINGS,MO,64015,,,ALARM,,INCIDENT,Dep. K. Ford,,,
23-06622,12/18/2023 2210,12/18/2023 2210,12/18/2023 2320,13820 S LOVERS LN  ,LONE JACK,MO,64070,,,VIOL ORDER PROTECTION FOR ADULT,,INCIDENT,DEP. D YAZZIE,,,88
23-06622,12/18/2023 2210,12/18/2023 2210,12/18/2023 2320,13820 S LOVERS LN  ,LONE JACK,MO,64070,,,VIOL ORDER PROTECTION FOR ADULT,,INCIDENT,DEP. D YAZZIE,,,88
23-06623,12/19/2023 0610,12/19/2023 0600,12/19/2023 0610,1604  STARK AVE  ,KANSAS CITY,MO,64126,,,STEALING - MOTOR VEHICLE/WATERCRAFT/AIRCRAFT,240,INVESTIGATIVE,DEP. C. HEIN,5,20,88
23-06623,12/19/2023 0610,12/19/2023 0600,12/19/2023 0610,1604  STARK AVE  ,KANSAS CITY,MO,64126,,,STEALING - MOTOR VEHICLE/WATERCRAFT/AIRCRAFT,240,INVESTIGATIVE,DEP. C. HEIN,5,20,88
23-06624,12/19/2023 0627,12/12/2023 0627,12/19/2023 0650,602 E MONROE ST  ,BUCKNER,MO,64016,,,ALARM,,INCIDENT,DEP. C. STEWART,2,,
23-06624,12/19/2023 0627,12/12/2023 0627,12/19/2023 0650,602 E MONROE ST  ,BUCKNER,MO,64016,,,ALARM,,INCIDENT,DEP. C. STEWART,2,,
23-06625,12/19/2023 0659,12/04/2022 0000,12/19/2023 0715,  MANCHESTER AVE/S 17TH  ,KANSAS CITY,MO,64126,,,RECOVERED STOLEN AUTO,90Z,INVESTIGATIVE,DEP. C. HEIN,10,13,99
23-06625,12/19/2023 0659,12/04/2022 0000,12/19/2023 0715,  MANCHESTER AVE/S 17TH  ,KANSAS CITY,MO,64126,,,RECOVERED STOLEN AUTO,90Z,INVESTIGATIVE,DEP. C. HEIN,10,13,99
23-06626,12/19/2023 0812,12/19/2023 0810,12/19/2023 0825,1909  SPRING ST  ,KANSAS CITY,MO,64126,,,INFORMATION REPORT,,INCIDENT,DEP. C. HEIN,5,,
23-06626,12/19/2023 0812,12/19/2023 0810,12/19/2023 0825,1909  SPRING ST  ,KANSAS CITY,MO,64126,,,INFORMATION REPORT,,INCIDENT,DEP. C. HEIN,5,,
23-06627,12/19/2023 0926,12/15/2023 0000,12/19/2023 1000,8301 E TRUMAN RD  ,KANSAS CITY,MO,64126,,,RECOVERED STOLEN AUTO,90Z,INVESTIGATIVE,DEP. C. HEIN,5,18,99
23-06627,12/19/2023 0926,12/15/2023 0000,12/19/2023 1000,8301 E TRUMAN RD  ,KANSAS CITY,MO,64126,,,RECOVERED STOLEN AUTO,90Z,INVESTIGATIVE,DEP. C. HEIN,5,18,99
23-06628,12/19/2023 0730,12/19/2023 0730,12/19/2023 1011,27745  W 159TH ST  ,NEW CENTURY,KS,66031,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06628,12/19/2023 0730,12/19/2023 0730,12/19/2023 1011,27745  W 159TH ST  ,NEW CENTURY,KS,66031,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06629,12/19/2023 0730,12/19/2023 0730,12/19/2023 1043,27745  W 159TH ST  ,NEW CENTURY,KS,66031,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06629,12/19/2023 0730,12/19/2023 0730,12/19/2023 1043,27745  W 159TH ST  ,NEW CENTURY,KS,66031,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06630,12/19/2023 0730,12/19/2023 0730,12/19/2023 1102,27745  W 159TH ST  ,NEW CENTURY,KS,66031,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06630,12/19/2023 0730,12/19/2023 0730,12/19/2023 1102,27745  W 159TH ST  ,NEW CENTURY,KS,66031,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06631,12/19/2023 1132,12/19/2023 0915,12/19/2023 1133,10  S WATER ST  ,LIBERTY,MO,64068,,,ARREST REPORT,,ARREST,DEP. S. VANCAMP,,,
23-06631,12/19/2023 1132,12/19/2023 0915,12/19/2023 1133,10  S WATER ST  ,LIBERTY,MO,64068,,,ARREST REPORT,,ARREST,DEP. S. VANCAMP,,,
23-06632,12/19/2023 1138,12/19/2023 0915,12/19/2023 1139,10  S WATER ST  ,LIBERTY,MO,64068,,,ARREST REPORT,,ARREST,DEP. S. VANCAMP,,,
23-06632,12/19/2023 1138,12/19/2023 0915,12/19/2023 1139,10  S WATER ST  ,LIBERTY,MO,64068,,,ARREST REPORT,,ARREST,DEP. S. VANCAMP,,,
23-06633,12/19/2023 1030,12/19/2023 1030,12/19/2023 1249,101  N KANSAS AVE  ,OLATHE,KS,66061,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06633,12/19/2023 1030,12/19/2023 1030,12/19/2023 1249,101  N KANSAS AVE  ,OLATHE,KS,66061,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06634,12/19/2023 1030,12/19/2023 1030,12/19/2023 1259,101  N KANSAS AVE  ,OLATHE,KS,66061,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06634,12/19/2023 1030,12/19/2023 1030,12/19/2023 1259,101  N KANSAS AVE  ,OLATHE,KS,66061,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06635,12/19/2023 1300,12/19/2023 1030,12/19/2023 1300,101  N KANSAS ST  ,OLATHE,KS,65061,,,ARREST REPORT,90Z,ARREST,DEP. S. VANCAMP,,15,88
23-06635,12/19/2023 1300,12/19/2023 1030,12/19/2023 1300,101  N KANSAS ST  ,OLATHE,KS,65061,,,ARREST REPORT,90Z,ARREST,DEP. S. VANCAMP,,15,88
23-06636,12/19/2023 1308,12/19/2023 0845,12/19/2023 1324,10  WATER  ,LIBERTY,MO,64068,,,ARREST REPORT,,ARREST,DEP. G. HESSENFLOW,,,
23-06636,12/19/2023 1308,12/19/2023 0845,12/19/2023 1324,10  WATER  ,LIBERTY,MO,64068,,,ARREST REPORT,,ARREST,DEP. G. HESSENFLOW,,,
23-06637,12/19/2023 1030,12/19/2023 1030,12/19/2023 1310,101  N KANSAS AVE  ,OLATHE,KS,66061,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06637,12/19/2023 1030,12/19/2023 1030,12/19/2023 1310,101  N KANSAS AVE  ,OLATHE,KS,66061,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06638,12/19/2023 1030,12/19/2023 1030,12/19/2023 1321,101  N KANSAS AVE  ,OLATEH,KS,66061,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06638,12/19/2023 1030,12/19/2023 1030,12/19/2023 1321,101  N KANSAS AVE  ,OLATEH,KS,66061,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06639,12/19/2023 1324,12/19/2023 0730,12/19/2023 1325,301  N 2ND ST  ,ST CHARLES,MO,63301,,,ARREST REPORT,,ARREST,DEP. S. VANCAMP,,,
23-06639,12/19/2023 1324,12/19/2023 0730,12/19/2023 1325,301  N 2ND ST  ,ST CHARLES,MO,63301,,,ARREST REPORT,,ARREST,DEP. S. VANCAMP,,,
23-06640,12/19/2023 1030,12/19/2023 1030,12/19/2023 1343,101  N KANSAS AVE  ,OLATHE,KS,66061,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06640,12/19/2023 1030,12/19/2023 1030,12/19/2023 1343,101  N KANSAS AVE  ,OLATHE,KS,66061,,,ARREST REPORT,,ARREST,DEP. D. LOPEZ,,,
23-06641,12/19/2023 1426,12/07/2023 0000,12/11/2023 2359,29010 E 117TH ST  ,LEES SUMMIT,MO,64086,,,INFORMATION REPORT,,INCIDENT,Dep. C. Byous,4,,
23-06641,12/19/2023 1426,12/07/2023 0000,12/11/2023 2359,29010 E 117TH ST  ,LEES SUMMIT,MO,64086,,,INFORMATION REPORT,,INCIDENT,Dep. C. Byous,4,,
23-06642,12/19/2023 1646,12/19/2023 1640,12/19/2023 1800,18001  LEXINGTON AVE  ,INDEPENDENCE,MO,64058,,,INFORMATION REPORT,,INCIDENT,DEP. C. STEWART,,,
23-06642,12/19/2023 1646,12/19/2023 1640,12/19/2023 1800,18001  LEXINGTON AVE  ,INDEPENDENCE,MO,64058,,,INFORMATION REPORT,,INCIDENT,DEP. C. STEWART,,,
23-06643,12/19/2023 1747,12/19/2023 0650,12/19/2023 0700,1300  CHERRY  ,KANSAS CITY,MO,64106,,,ASSAULT ON JCDC INMATE,13B,INCIDENT,Dep. J. Atty,9,15,88
23-06643,12/19/2023 1747,12/19/2023 0650,12/19/2023 0700,1300  CHERRY  ,KANSAS CITY,MO,64106,,,ASSAULT ON JCDC INMATE,13B,INCIDENT,Dep. J. Atty,9,15,88
23-06644,12/19/2023 1721,12/19/2023 1740,12/19/2023 1830,18303 E 18TH TER N  ,INDEPENDENCE,MO,64058,,,INFORMATION REPORT,,INCIDENT,DEP. C. HEIN,1,,
23-06644,12/19/2023 1721,12/19/2023 1740,12/19/2023 1830,18303 E 18TH TER N  ,INDEPENDENCE,MO,64058,,,INFORMATION REPORT,,INCIDENT,DEP. C. HEIN,1,,
23-06645,12/20/2023 0120,12/20/2023 0120,12/20/2023 0149,3505 SW EAST BOUND 40 HWY  ,BLUE SPRINGS,MO,64015,,,ALARM,,INCIDENT,DEP. D YAZZIE,,,88
23-06645,12/20/2023 0120,12/20/2023 0120,12/20/2023 0149,3505 SW EAST BOUND 40 HWY  ,BLUE SPRINGS,MO,64015,,,ALARM,,INCIDENT,DEP. D YAZZIE,,,88
23-06646,12/20/2023 0139,12/20/2023 0139,12/20/2023 0216,  US-40 UNDER I-70  ,INDEPENDENCE,MO,64052,,,DRIVING WHILE INTOXICATED,90D,INVESTIGATIVE,DEP. S. STOFF,8,13,88
23-06646,12/20/2023 0139,12/20/2023 0139,12/20/2023 0216,  US-40 UNDER I-70  ,INDEPENDENCE,MO,64052,,,CARLESS & IMPRUDENT DRIVING,90Z,INVESTIGATIVE,DEP. S. STOFF,8,13,88
23-06646,12/20/2023 0139,12/20/2023 0139,12/20/2023 0216,  US-40 UNDER I-70  ,INDEPENDENCE,MO,64052,,,DRIVING WHILE INTOXICATED,90D,INVESTIGATIVE,DEP. S. STOFF,8,13,88
23-06646,12/20/2023 0139,12/20/2023 0139,12/20/2023 0216,  US-40 UNDER I-70  ,INDEPENDENCE,MO,64052,,,CARLESS & IMPRUDENT DRIVING,90Z,INVESTIGATIVE,DEP. S. STOFF,8,13,88
23-06647,12/20/2023 0144,12/20/2023 0144,12/20/2023 0312,  40/70  ,INDEPENDENCE,MO,64055,,,DRIVING WHILE LICENSE SUSPENDED / REVOKED,90Z,ARREST,DEP. C. BENNETT,8,13,88
23-06647,12/20/2023 0144,12/20/2023 0144,12/20/2023 0312,  40/70  ,INDEPENDENCE,MO,64055,,,"TRAFFIC CONTROL DEVICE, OBEDIENCE TO",90Z,ARREST,DEP. C. BENNETT,8,13,88
23-06647,12/20/2023 0144,12/20/2023 0144,12/20/2023 0312,  40/70  ,INDEPENDENCE,MO,64055,,,EXPIRED PLATES,90Z,ARREST,DEP. C. BENNETT,8,13,88
23-06647,12/20/2023 0144,12/20/2023 0144,12/20/2023 0312,  40/70  ,INDEPENDENCE,MO,64055,,,DRIVING WHILE INTOXICATED,90D,ARREST,DEP. C. BENNETT,8,13,88
23-06647,12/20/2023 0144,12/20/2023 0144,12/20/2023 0312,  40/70  ,INDEPENDENCE,MO,64055,,,EXPIRED PLATES,90Z,ARREST,DEP. C. BENNETT,8,13,88
23-06647,12/20/2023 0144,12/20/2023 0144,12/20/2023 0312,  40/70  ,INDEPENDENCE,MO,64055,,,"TRAFFIC CONTROL DEVICE, OBEDIENCE TO",90Z,ARREST,DEP. C. BENNETT,8,13,88
23-06647,12/20/2023 0144,12/20/2023 0144,12/20/2023 0312,  40/70  ,INDEPENDENCE,MO,64055,,,DRIVING WHILE INTOXICATED,90D,ARREST,DEP. C. BENNETT,8,13,88
23-06647,12/20/2023 0144,12/20/2023 0144,12/20/2023 0312,  40/70  ,INDEPENDENCE,MO,64055,,,DRIVING WHILE LICENSE SUSPENDED / REVOKED,90Z,ARREST,DEP. C. BENNETT,8,13,88
23-06648,12/20/2023 0250,12/20/2023 0250,12/20/2023 0545,  40/70  ,INDEPENDENCE,MO,64057,,,DRIVING WHILE INTOXICATED,90D,ARREST,Dep. C. McVay,8,13,88
23-06648,12/20/2023 0250,12/20/2023 0250,12/20/2023 0545,  40/70  ,INDEPENDENCE,MO,64057,,,DRIVING WHILE LICENSE SUSPENDED / REVOKED,90Z,ARREST,Dep. C. McVay,8,13,88
23-06648,12/20/2023 0250,12/20/2023 0250,12/20/2023 0545,  40/70  ,INDEPENDENCE,MO,64057,,,DRIVING WHILE LICENSE SUSPENDED / REVOKED,90Z,ARREST,Dep. C. McVay,8,13,88
23-06648,12/20/2023 0250,12/20/2023 0250,12/20/2023 0545,  40/70  ,INDEPENDENCE,MO,64057,,,DRIVING WHILE INTOXICATED,90D,ARREST,Dep. C. McVay,8,13,88
23-06649,12/20/2023 0655,12/20/2023 0445,12/20/2023 0654,10406 S CORN RD  ,LONE JACK,MO,64070,,,AUTO ACCIDENT,,INCIDENT,SGT. M. MILLER,4,,
23-06649,12/20/2023 0655,12/20/2023 0445,12/20/2023 0654,10406 S CORN RD  ,LONE JACK,MO,64070,,,AUTO ACCIDENT,,INCIDENT,SGT. M. MILLER,4,,
23-06650,12/20/2023 0921,12/06/2023 1400,12/20/2023 0930,2203 N PONCA DR  ,INDEPENDENCE,MO,64058,,,INFORMATION REPORT,,INCIDENT,DEP. A. JONES,1,,
23-06650,12/20/2023 0921,12/06/2023 1400,12/20/2023 0930,2203 N PONCA DR  ,INDEPENDENCE,MO,64058,,,INFORMATION REPORT,,INCIDENT,DEP. A. JONES,1,,
23-06651,12/20/2023 0830,12/20/2023 0830,12/20/2023 1132,3601  E 25TH ST  ,LAWRENCE,KS,66046,,,ARREST REPORT,,ARREST,Dep. J. Beggs,,,
23-06651,12/20/2023 0830,12/20/2023 0830,12/20/2023 1132,3601  E 25TH ST  ,LAWRENCE,KS,66046,,,ARREST REPORT,,ARREST,Dep. J. Beggs,,,
23-06652,12/20/2023 1143,09/20/2023 1600,03/01/2024 0944,1315  LOCUST ST  ,KANSAS CITY,MO,64106,,,FAIL TO REGISTER AS SEX OFFENDER,,INACTIVE,SGT. P. COLE,9,,
23-06652,12/20/2023 1143,09/20/2023 1600,03/01/2024 0944,1315  LOCUST ST  ,KANSAS CITY,MO,64106,,,FAIL TO REGISTER AS SEX OFFENDER,,INACTIVE,SGT. P. COLE,9,,
23-06653,12/20/2023 1143,12/20/2023 0730,12/20/2023 1154,372  HIGHWAY JJ  ,HUNTSVILLE,MO,65259,,,ARREST REPORT,,ARREST,DEP. G. HESSENFLOW,,,
23-06653,12/20/2023 1143,12/20/2023 0730,12/20/2023 1154,372  HIGHWAY JJ  ,HUNTSVILLE,MO,65259,,,ARREST REPORT,,ARREST,DEP. G. HESSENFLOW,,,
23-06654,12/20/2023 1209,12/19/2023 1100,03/08/2024 1027,1315  LOCUST  100,KANSAS CITY,MO,64106,,,FAILURE TO REGISTER AS A SEX OFFENDER,,INVESTIGATIVE,SGT. P. COLE,,,
23-06654,12/20/2023 1209,12/19/2023 1100,03/08/2024 1027,1315  LOCUST  100,KANSAS CITY,MO,64106,,,FAILURE TO REGISTER AS A SEX OFFENDER,,INVESTIGATIVE,SGT. P. COLE,,,
23-06655,12/20/2023 1229,12/19/2023 1110,01/05/2024 1300,1315  LOCUST  100,KANSAS CITY,MO,64106,,,FAILURE TO REGISTER AS A SEX OFFENDER,,INACTIVE,SGT. P. COLE,,,
23-06655,12/20/2023 1229,12/19/2023 1110,01/05/2024 1300,1315  LOCUST  100,KANSAS CITY,MO,64106,,,FAILURE TO REGISTER AS A SEX OFFENDER,,INACTIVE,SGT. P. COLE,,,
23-06656,12/20/2023 1258,12/19/2023 1400,,    ,,,,,,,,,SGT. P. COLE,,,
23-06656,12/20/2023 1258,12/19/2023 1400,,    ,,,,,,,,,SGT. P. COLE,,,
23-06657,12/20/2023 1429,12/20/2023 1245,12/20/2023 1429,10  S WATER ST  ,LIBERTY,MO,64068,,,ARREST REPORT,,ARREST,DEP. S. VANCAMP,,,
23-06657,12/20/2023 1429,12/20/2023 1245,12/20/2023 1429,10  S WATER ST  ,LIBERTY,MO,64068,,,ARREST REPORT,,ARREST,DEP. S. VANCAMP,,,
23-06658,12/20/2023 1516,12/20/2023 1530,12/20/2023 1533,1300  CHERRY  ,KANSAS CITY,MO,64106,,,INFORMATION REPORT,90Z,INCIDENT,Dep. J. Atty,9,15,88
23-06658,12/20/2023 1516,12/20/2023 1530,12/20/2023 1533,1300  CHERRY  ,KANSAS CITY,MO,64106,,,INFORMATION REPORT,90Z,INCIDENT,Dep. J. Atty,9,15,88
23-06659,12/20/2023 1450,12/20/2023 1430,12/20/2023 1450,18913 E 16TH TER N  ,INDEPENDENCE,MO,64058,,,ASSAULT,13B,INCIDENT,DEP. A. JONES,1,20,88
23-06659,12/20/2023 1450,12/20/2023 1430,12/20/2023 1450,18913 E 16TH TER N  ,INDEPENDENCE,MO,64058,,,ASSAULT,13B,INCIDENT,DEP. A. JONES,1,20,88
23-06660,12/20/2023 1440,12/20/2023 1440,12/20/2023 1640,2118  WHITNEY AVE  ,INDEPENDENCE,MO,64058,,,ANIMALS-RESTRAINT OF VICIOUS/DANGEROUS ANIMAL,90Z,ARREST,DEP. C. STEWART,1,13,88
23-06660,12/20/2023 1440,12/20/2023 1440,12/20/2023 1640,2118  WHITNEY AVE  ,INDEPENDENCE,MO,64058,,,ARREST REPORT,,ARREST,DEP. C. STEWART,1,,
23-06660,12/20/2023 1440,12/20/2023 1440,12/20/2023 1640,2118  WHITNEY AVE  ,INDEPENDENCE,MO,64058,,,ARREST REPORT,,ARREST,DEP. C. STEWART,1,,
23-06660,12/20/2023 1440,12/20/2023 1440,12/20/2023 1640,2118  WHITNEY AVE  ,INDEPENDENCE,MO,64058,,,ANIMALS-RESTRAINT OF VICIOUS/DANGEROUS ANIMAL,90Z,ARREST,DEP. C. STEWART,1,13,88
23-06661,12/20/2023 1753,12/20/2023 1753,12/20/2023 1953,301 NW GREGORY BLVD  ,LEES SUMMIT,MO,64064,,,ASSAULT,13B,INVESTIGATIVE,Dep. S. Daniels-Mikrut,,15,88
23-06661,12/20/2023 1753,12/20/2023 1753,12/20/2023 1953,301 NW GREGORY BLVD  ,LEES SUMMIT,MO,64064,,,ASSAULT,13B,INVESTIGATIVE,Dep. S. Daniels-Mikrut,,15,88
23-06662,12/20/2023 1837,12/20/2023 1837,12/20/2023 1936,1011  LAKESHORE DR  ,OAK GROVE,MO,64075,,,INFORMATION REPORT,,INCIDENT,DEP. S. PLAIN,,,
