Report Number,Report Date,Occurred From,Occurred To,Address,City,State,ZIP,Latitude,Longitude,Offense,NIBRS Code,Office Status,Reporting Officer Name,District,(9) Location Type,(8a) Bias Motivated Crime
23-00001,01/01/2023 0026,01/01/2023 0026,01/01/2023 0240,  NOLAND/I70  ,INDEPENDENCE,MO,64055,,,ARREST REPORT,,ARREST,SGT. R. BERGER,,,
23-00001,01/01/2023 0026,01/01/2023 0026,01/01/2023 0240,  NOLAND/I70  ,INDEPENDENCE,MO,64055,,,ARREST REPORT,,ARREST,SGT. R. BERGER,,,
23-00002,01/01/2023 0045,01/01/2023 0045,01/01/2023 0127,  40/MAIN  ,GRAIN VALLEY,MO,64075,,,EXCEEDED POSTED SPEED LIMIT,90Z,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00002,01/01/2023 0045,01/01/2023 0045,01/01/2023 0127,  40/MAIN  ,GRAIN VALLEY,MO,64075,,,DRIVING WHILE INTOXICATED,90D,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00002,01/01/2023 0045,01/01/2023 0045,01/01/2023 0127,  40/MAIN  ,GRAIN VALLEY,MO,64075,,,MINOR IN POSSESSION OF ALCOHOL,90G,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00002,01/01/2023 0045,01/01/2023 0045,01/01/2023 0127,  40/MAIN  ,GRAIN VALLEY,MO,64075,,,MINOR IN POSSESSION OF ALCOHOL,90G,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00002,01/01/2023 0045,01/01/2023 0045,01/01/2023 0127,  40/MAIN  ,GRAIN VALLEY,MO,64075,,,DRIVING WHILE INTOXICATED,90D,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00002,01/01/2023 0045,01/01/2023 0045,01/01/2023 0127,  40/MAIN  ,GRAIN VALLEY,MO,64075,,,EXCEEDED POSTED SPEED LIMIT,90Z,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00003,01/01/2023 0217,01/01/2023 0217,01/01/2023 0252,  40/NW MEADOW ROAD  ,GRAIN VALLEY,MO,64029,,,DRIVING WHILE INTOXICATED,90D,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00003,01/01/2023 0217,01/01/2023 0217,01/01/2023 0252,  40/NW MEADOW ROAD  ,GRAIN VALLEY,MO,64029,,,"TRAFFIC CONTROL DEVICE, OBEDIENCE TO",90Z,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00003,01/01/2023 0217,01/01/2023 0217,01/01/2023 0252,  40/NW MEADOW ROAD  ,GRAIN VALLEY,MO,64029,,,CHANGE LANE-NOT SAFE,90Z,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00003,01/01/2023 0217,01/01/2023 0217,01/01/2023 0252,  40/NW MEADOW ROAD  ,GRAIN VALLEY,MO,64029,,,DRIVING WHILE INTOXICATED,90D,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00003,01/01/2023 0217,01/01/2023 0217,01/01/2023 0252,  40/NW MEADOW ROAD  ,GRAIN VALLEY,MO,64029,,,"TRAFFIC CONTROL DEVICE, OBEDIENCE TO",90Z,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00003,01/01/2023 0217,01/01/2023 0217,01/01/2023 0252,  40/NW MEADOW ROAD  ,GRAIN VALLEY,MO,64029,,,CHANGE LANE-NOT SAFE,90Z,INVESTIGATIVE,DEP. S. PLAIN,,13,88
23-00004,01/01/2023 0123,01/01/2023 0123,01/01/2023 0318,25010 E WOODLAND CIR  ,LEES SUMMIT,MO,,,,INFORMATION REPORT,,INCIDENT,Dep. K. Ford,4,,
23-00004,01/01/2023 0123,01/01/2023 0123,01/01/2023 0318,25010 E WOODLAND CIR  ,LEES SUMMIT,MO,,,,INFORMATION REPORT,,INCIDENT,Dep. K. Ford,4,,
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,CHANGE LANE-NOT SAFE,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,ASSAULT,13B,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,RESISTING ARREST,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,DRIVING WHILE INTOXICATED,90D,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,NO VALID INSURANCE,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,OBEDIENCE TO SHERIFF OR DEPUTY,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,DRIVING WHILE INTOXICATED,90D,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,NO VALID INSURANCE,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,RESISTING ARREST,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,CHANGE LANE-NOT SAFE,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,ASSAULT,13B,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00005,01/01/2023 0250,01/01/2023 0250,01/01/2023 0545,  SE TIMBERCREEK DR / SE TIMBERCREEK CT  ,BLUE SPRINGS,MO,64014,,,OBEDIENCE TO SHERIFF OR DEPUTY,90Z,INVESTIGATIVE,Dep. C. Byous,3,13,88
23-00006,01/01/2023 0438,01/01/2023 0438,01/01/2023 0516,  E38TH TER / BLUE RIDGE CUTOFF  ,KANSAS CITY,MO,64133,,,"TRAFFIC CONTROL DEVICE, OBEDIENCE TO",,INVESTIGATIVE,Dep. Coby,,,
23-00006,01/01/2023 0438,01/01/2023 0438,01/01/2023 0516,  E38TH TER / BLUE RIDGE CUTOFF  ,KANSAS CITY,MO,64133,,,VEHICLES ON ROADS TO BE LICENSED; DISPLAY REQUIRED,90Z,INVESTIGATIVE,Dep. Coby,,13,88
23-00006,01/01/2023 0438,01/01/2023 0438,01/01/2023 0516,  E38TH TER / BLUE RIDGE CUTOFF  ,KANSAS CITY,MO,64133,,,STEALING,23H,INVESTIGATIVE,Dep. Coby,,13,88
23-00006,01/01/2023 0438,01/01/2023 0438,01/01/2023 0516,  E38TH TER / BLUE RIDGE CUTOFF  ,KANSAS CITY,MO,64133,,,NO VALID INSURANCE,,INVESTIGATIVE,Dep. Coby,,,
23-00006,01/01/2023 0438,01/01/2023 0438,01/01/2023 0516,  E38TH TER / BLUE RIDGE CUTOFF  ,KANSAS CITY,MO,64133,,,"TRAFFIC CONTROL DEVICE, OBEDIENCE TO",,INVESTIGATIVE,Dep. Coby,,,
23-00006,01/01/2023 0438,01/01/2023 0438,01/01/2023 0516,  E38TH TER / BLUE RIDGE CUTOFF  ,KANSAS CITY,MO,64133,,,STEALING,23H,INVESTIGATIVE,Dep. Coby,,13,88
23-00006,01/01/2023 0438,01/01/2023 0438,01/01/2023 0516,  E38TH TER / BLUE RIDGE CUTOFF  ,KANSAS CITY,MO,64133,,,VEHICLES ON ROADS TO BE LICENSED; DISPLAY REQUIRED,90Z,INVESTIGATIVE,Dep. Coby,,13,88
23-00006,01/01/2023 0438,01/01/2023 0438,01/01/2023 0516,  E38TH TER / BLUE RIDGE CUTOFF  ,KANSAS CITY,MO,64133,,,NO VALID INSURANCE,,INVESTIGATIVE,Dep. Coby,,,
23-00007,01/01/2023 0921,01/01/2023 0900,01/01/2023 0921,24106 E 150 HWY  ,GREENWOOD,MO,64034,,,INFORMATION REPORT,,INCIDENT,DEP. B. SMITH,4,,
23-00007,01/01/2023 0921,01/01/2023 0900,01/01/2023 0921,24106 E 150 HWY  ,GREENWOOD,MO,64034,,,INFORMATION REPORT,,INCIDENT,DEP. B. SMITH,4,,
23-00008,01/01/2023 0921,01/01/2023 0921,01/01/2023 1200,2111 N COLONY LN  ,INDEPENDENCE,MO,64058,,,DEAD BODY,,INCIDENT,Dep. E. Herron,,,
23-00008,01/01/2023 0921,01/01/2023 0921,01/01/2023 1200,2111 N COLONY LN  ,INDEPENDENCE,MO,64058,,,DEAD BODY,,INCIDENT,Dep. E. Herron,,,
23-00009,01/01/2023 1015,12/31/2022 0815,01/01/2023 0315,18901 E 16TH TERR N  ,INDEPENDENCE,MO,64058,,,PROPERTY DAMAGE,290,INCIDENT,Dep. M. Wicks,1,20,88
23-00009,01/01/2023 1015,12/31/2022 0815,01/01/2023 0315,18901 E 16TH TERR N  ,INDEPENDENCE,MO,64058,,,PROPERTY DAMAGE,290,INCIDENT,Dep. M. Wicks,1,20,88
23-00010,01/01/2023 1112,01/01/2023 1048,01/01/2023 1112,1803  ELM ST WEST    ,GREENWOOD,MO,64034,,,DOMESTIC ASSAULT - 1ST DEGREE - SERIOUS PHYSICAL INJURY,,INVESTIGATIVE,DEP. B. SMITH,4,,
23-00010,01/01/2023 1112,01/01/2023 1048,01/01/2023 1112,1803  ELM ST WEST    ,GREENWOOD,MO,64034,,,DOMESTIC ASSAULT - 1ST DEGREE - SERIOUS PHYSICAL INJURY,,INVESTIGATIVE,DEP. B. SMITH,4,,
23-00011,01/01/2023 1333,01/01/2023 1333,01/01/2023 1520,18906 E 18TH ST NORTH  ,INDEPENDENCE,MO,64058,,,ARREST REPORT,,INCIDENT,Dep. E. Herron,1,,
23-00011,01/01/2023 1333,01/01/2023 1333,01/01/2023 1520,18906 E 18TH ST NORTH  ,INDEPENDENCE,MO,64058,,,ARREST REPORT,,INCIDENT,Dep. E. Herron,1,,
23-00012,01/01/2023 2102,01/01/2023 2102,01/01/2023 2305,712 S SIBLEY ST  ,BUCKNER,MO,64016,,,CIT REFERRAL,,INCIDENT,Dep. Coby,,20,88
23-00012,01/01/2023 2102,01/01/2023 2102,01/01/2023 2305,712 S SIBLEY ST  ,BUCKNER,MO,64016,,,CIT REFERRAL,,INCIDENT,Dep. Coby,,20,88
23-00013,01/01/2023 2120,01/01/2023 2115,01/01/2023 2120,1822  TILDEN AVE  ,KANSAS CITY,MO,64126,,,INFORMATION REPORT,,INCIDENT,DEP. P. LY,5,,
23-00013,01/01/2023 2120,01/01/2023 2115,01/01/2023 2120,1822  TILDEN AVE  ,KANSAS CITY,MO,64126,,,INFORMATION REPORT,,INCIDENT,DEP. P. LY,5,,
23-00014,01/01/2023 2228,01/01/2023 2228,01/01/2023 2335,  BLUE RIDGE BLVD  ,KANSAS CITY,MO,64126,,,ARREST REPORT,,ARREST,Dep. G.Pasalich,,,
23-00014,01/01/2023 2228,01/01/2023 2228,01/01/2023 2335,  BLUE RIDGE BLVD  ,KANSAS CITY,MO,64126,,,ARREST REPORT,,ARREST,Dep. G.Pasalich,,,
23-00015,01/02/2023 0104,01/02/2023 0104,01/02/2023 0106,8312 E 23RD ST S  ,KANSAS CITY,MO,64129,,,DRIVING WHILE LICENSE SUSPENDED / REVOKED,,INVESTIGATIVE,DEP. P. LY,5,,
23-00015,01/02/2023 0104,01/02/2023 0104,01/02/2023 0106,8312 E 23RD ST S  ,KANSAS CITY,MO,64129,,,CONTROLLED SUBSTANCES - POSSESS/USE/SELL/MANUFACTURE,35A,INVESTIGATIVE,DEP. P. LY,5,23,88
23-00015,01/02/2023 0104,01/02/2023 0104,01/02/2023 0106,8312 E 23RD ST S  ,KANSAS CITY,MO,64129,,,TAMPERING WITH A MOTOR VEHICLE,280,INVESTIGATIVE,DEP. P. LY,5,23,88
23-00015,01/02/2023 0104,01/02/2023 0104,01/02/2023 0106,8312 E 23RD ST S  ,KANSAS CITY,MO,64129,,,POSSES DRUG PARAPHERNALI,35B,INVESTIGATIVE,DEP. P. LY,5,23,88
23-00015,01/02/2023 0104,01/02/2023 0104,01/02/2023 0106,8312 E 23RD ST S  ,KANSAS CITY,MO,64129,,,CONTROLLED SUBSTANCES - POSSESS/USE/SELL/MANUFACTURE,35A,INVESTIGATIVE,DEP. P. LY,5,23,88
23-00015,01/02/2023 0104,01/02/2023 0104,01/02/2023 0106,8312 E 23RD ST S  ,KANSAS CITY,MO,64129,,,TAMPERING WITH A MOTOR VEHICLE,280,INVESTIGATIVE,DEP. P. LY,5,23,88
23-00015,01/02/2023 0104,01/02/2023 0104,01/02/2023 0106,8312 E 23RD ST S  ,KANSAS CITY,MO,64129,,,POSSES DRUG PARAPHERNALI,35B,INVESTIGATIVE,DEP. P. LY,5,23,88
23-00015,01/02/2023 0104,01/02/2023 0104,01/02/2023 0106,8312 E 23RD ST S  ,KANSAS CITY,MO,64129,,,DRIVING WHILE LICENSE SUSPENDED / REVOKED,,INVESTIGATIVE,DEP. P. LY,5,,
23-00016,01/02/2023 0343,01/02/2023 0343,01/02/2023 0532,18915  MANOR DR  ,INDEPENDENCE,MO,64058,,,CURFEW VIOLATION,90B,INCIDENT,Dep. G.Pasalich,,13,88
23-00016,01/02/2023 0343,01/02/2023 0343,01/02/2023 0532,18915  MANOR DR  ,INDEPENDENCE,MO,64058,,,CURFEW VIOLATION,90B,INCIDENT,Dep. G.Pasalich,,13,88
23-00017,01/02/2023 1109,01/02/2023 1109,01/02/2023 1538,24704  WOODLAND CIR  ,LEES SUMMIT,MO,64086,,,INFORMATION REPORT,,INCIDENT,DEP. G. MILLER,,,
23-00017,01/02/2023 1109,01/02/2023 1109,01/02/2023 1538,24704  WOODLAND CIR  ,LEES SUMMIT,MO,64086,,,INFORMATION REPORT,,INCIDENT,DEP. G. MILLER,,,
23-00018,01/02/2023 1731,01/02/2023 1731,01/02/2023 1948,  LEINWEBER RD/BEACH  ,LEES SUMMIT,MO,64086,,,INFORMATION REPORT,,INCIDENT,DEP. G. MILLER,,,
23-00018,01/02/2023 1731,01/02/2023 1731,01/02/2023 1948,  LEINWEBER RD/BEACH  ,LEES SUMMIT,MO,64086,,,INFORMATION REPORT,,INCIDENT,DEP. G. MILLER,,,
23-00019,01/02/2023 2302,01/02/2023 2302,01/03/2023 0010,1300  CHERRY ST  ,KANSAS CITY,MO,64126,,,INFORMATION REPORT,,INCIDENT,Dep. C. McVay,5,,
23-00019,01/02/2023 2302,01/02/2023 2302,01/03/2023 0010,1300  CHERRY ST  ,KANSAS CITY,MO,64126,,,INFORMATION REPORT,,INCIDENT,Dep. C. McVay,5,,
23-00020,01/03/2023 0200,01/03/2023 0200,01/03/2023 0200,708 N BORGMAN RD  ,BUCKNER,MO,64016,,,INFORMATION REPORT,,INCIDENT,SGT. B. HENDERSON,,,
23-00020,01/03/2023 0200,01/03/2023 0200,01/03/2023 0200,708 N BORGMAN RD  ,BUCKNER,MO,64016,,,INFORMATION REPORT,,INCIDENT,SGT. B. HENDERSON,,,
23-00021,01/03/2023 0213,01/03/2023 0200,01/03/2023 0213,1728  VINCIL ST  ,INDEPENDENCE,MO,64126,,,ASSAULT,13B,INCIDENT,Dep. C. McVay,5,13,88
23-00021,01/03/2023 0213,01/03/2023 0200,01/03/2023 0213,1728  VINCIL ST  ,INDEPENDENCE,MO,64126,,,ASSAULT,13B,INCIDENT,Dep. C. McVay,5,13,88
23-00022,01/03/2023 0734,01/02/2023 0000,01/03/2023 0805,  23RD W OF 435  ,KANSAS CITY,MO,64126,,,RECOVERED STOLEN AUTO,90Z,INVESTIGATIVE,DEP. C. HEIN,5,13,88
23-00022,01/03/2023 0734,01/02/2023 0000,01/03/2023 0805,  23RD W OF 435  ,KANSAS CITY,MO,64126,,,RECOVERED STOLEN AUTO,90Z,INVESTIGATIVE,DEP. C. HEIN,5,13,88
23-00023,01/03/2023 0833,01/02/2023 0000,01/03/2023 1000,2109  ASHLAND AVE  ,KANSAS CITY,MO,64126,,,TAMPERING 1ST DEGREE,280,INVESTIGATIVE,DEP. C. HEIN,5,13,88
23-00023,01/03/2023 0833,01/02/2023 0000,01/03/2023 1000,2109  ASHLAND AVE  ,KANSAS CITY,MO,64126,,,POSS CNTRL SUB EXCPT 35G>CANBNOID,35A,INVESTIGATIVE,DEP. C. HEIN,5,13,88
23-00023,01/03/2023 0833,01/02/2023 0000,01/03/2023 1000,2109  ASHLAND AVE  ,KANSAS CITY,MO,64126,,,TAMPERING 1ST DEGREE,280,INVESTIGATIVE,DEP. C. HEIN,5,13,88
23-00023,01/03/2023 0833,01/02/2023 0000,01/03/2023 1000,2109  ASHLAND AVE  ,KANSAS CITY,MO,64126,,,POSS CNTRL SUB EXCPT 35G>CANBNOID,35A,INVESTIGATIVE,DEP. C. HEIN,5,13,88
23-00024,01/03/2023 0959,01/03/2023 0959,01/03/2023 1043,408  CHICAGO AVE  ,SIBLEY,MO,64088,,,INFORMATION REPORT,,INCIDENT,DEP. J. DAVIDSON,2,,
23-00024,01/03/2023 0959,01/03/2023 0959,01/03/2023 1043,408  CHICAGO AVE  ,SIBLEY,MO,64088,,,INFORMATION REPORT,,INCIDENT,DEP. J. DAVIDSON,2,,
23-00025,01/03/2023 1001,01/03/2023 1001,01/03/2023 1058,  BURNLEY RD/ 24 HWY  ,BUCKNER,MO,64016,,,STEALING - $750 OR MORE,23H,INVESTIGATIVE,DEP. J. FOSTER,2,10,88
23-00025,01/03/2023 1001,01/03/2023 1001,01/03/2023 1058,  BURNLEY RD/ 24 HWY  ,BUCKNER,MO,64016,,,STEALING - $750 OR MORE,23H,INVESTIGATIVE,DEP. J. FOSTER,2,10,88
23-00026,01/03/2023 1117,01/03/2023 1117,01/03/2023 1117,308 W KANSAS  ,INDEPENDENCE,MO,64050,,,ARREST REPORT,90Z,ARREST,Dep. B. Ingram,9,11,88
23-00026,01/03/2023 1117,01/03/2023 1117,01/03/2023 1117,308 W KANSAS  ,INDEPENDENCE,MO,64050,,,ARREST REPORT,90Z,ARREST,Dep. B. Ingram,9,11,88
23-00027,01/03/2023 1248,01/03/2023 0930,01/03/2023 1249,2501 W MECHANIC AVE  ,HARRISONVILLE,MO,64701,,,ARREST REPORT,,ARREST,DEP. G. HESSENFLOW,,,
23-00027,01/03/2023 1248,01/03/2023 0930,01/03/2023 1249,2501 W MECHANIC AVE  ,HARRISONVILLE,MO,64701,,,ARREST REPORT,,ARREST,DEP. G. HESSENFLOW,,,
23-00028,01/03/2023 1313,03/26/2022 1600,01/03/2023 1600,1315  LOCUST  100,KANSAS CITY,MO,64106,,,FAILURE TO REGISTER AS A SEX OFFENDER,,INVESTIGATIVE,DEP. J. SOUDERS,,,
23-00028,01/03/2023 1313,03/26/2022 1600,01/03/2023 1600,1315  LOCUST  100,KANSAS CITY,MO,64106,,,FAILURE TO REGISTER AS A SEX OFFENDER,,INVESTIGATIVE,DEP. J. SOUDERS,,,
23-00028,01/03/2023 1313,03/26/2022 1600,01/03/2023 1600,1315  LOCUST  100,KANSAS CITY,MO,64106,,,FAILURE TO REGISTER AS A SEX OFFENDER,90Z,INVESTIGATIVE,DEP. J. SOUDERS,,11,88
23-00028,01/03/2023 1313,03/26/2022 1600,01/03/2023 1600,1315  LOCUST  100,KANSAS CITY,MO,64106,,,FAILURE TO REGISTER AS A SEX OFFENDER,,INVESTIGATIVE,DEP. J. SOUDERS,,,
23-00028,01/03/2023 1313,03/26/2022 1600,01/03/2023 1600,1315  LOCUST  100,KANSAS CITY,MO,64106,,,FAILURE TO REGISTER AS A SEX OFFENDER,,INVESTIGATIVE,DEP. J. SOUDERS,,,
23-00028,01/03/2023 1313,03/26/2022 1600,01/03/2023 1600,1315  LOCUST  100,KANSAS CITY,MO,64106,,,FAILURE TO REGISTER AS A SEX OFFENDER,,INVESTIGATIVE,DEP. J. SOUDERS,,,
23-00028,01/03/2023 1313,03/26/2022 1600,01/03/2023 1600,1315  LOCUST  100,KANSAS CITY,MO,64106,,,FAILURE TO REGISTER AS A SEX OFFENDER,,INVESTIGATIVE,DEP. J. SOUDERS,,,
23-00028,01/03/2023 1313,03/26/2022 1600,01/03/2023 1600,1315  LOCUST  100,KANSAS CITY,MO,64106,,,FAILURE TO REGISTER AS A SEX OFFENDER,90Z,INVESTIGATIVE,DEP. J. SOUDERS,,11,88
23-00029,01/03/2023 1408,01/03/2023 0930,01/03/2023 1408,2501 W MECHANIC AVE  ,HARRISONVILLE,MO,64701,,,ARREST REPORT,,ARREST,DEP. G. HESSENFLOW,,,
23-00029,01/03/2023 1408,01/03/2023 0930,01/03/2023 1408,2501 W MECHANIC AVE  ,HARRISONVILLE,MO,64701,,,ARREST REPORT,,ARREST,DEP. G. HESSENFLOW,,,
23-00030,01/03/2023 1418,01/03/2023 1418,01/03/2023 1451,30600 E STONY POINT SCHOOL RD  ,GRAIN VALLEY,MO,64029,,,PROPERTY DAMAGE,290,INVESTIGATIVE,DEP. J. FOSTER,3,13,88
23-00030,01/03/2023 1418,01/03/2023 1418,01/03/2023 1451,30600 E STONY POINT SCHOOL RD  ,GRAIN VALLEY,MO,64029,,,PROPERTY DAMAGE,290,INVESTIGATIVE,DEP. J. FOSTER,3,13,88
23-00031,01/03/2023 1442,01/03/2023 1442,01/03/2023 1529,1911  SPRING AVE  ,BLUE SUMMIT,MO,64126,,,RECOVERED STOLEN AUTO,,INCIDENT,DEP. G. MILLER,,,
23-00031,01/03/2023 1442,01/03/2023 1442,01/03/2023 1529,1911  SPRING AVE  ,BLUE SUMMIT,MO,64126,,,FLEEING OR ATTEMPT TO ELUDE A DEPUTY,,INCIDENT,DEP. G. MILLER,,,
23-00031,01/03/2023 1442,01/03/2023 1442,01/03/2023 1529,1911  SPRING AVE  ,BLUE SUMMIT,MO,64126,,,RECOVERED STOLEN AUTO,,INCIDENT,DEP. G. MILLER,,,
23-00031,01/03/2023 1442,01/03/2023 1442,01/03/2023 1529,1911  SPRING AVE  ,BLUE SUMMIT,MO,64126,,,FLEEING OR ATTEMPT TO ELUDE A DEPUTY,,INCIDENT,DEP. G. MILLER,,,
23-00032,01/03/2023 1517,01/03/2023 0900,01/03/2023 1518,1999  MO 52  ,TUSCUMBIA,MO,65082,,,ARREST REPORT,,ARREST,DEP. G. HESSENFLOW,,,
23-00032,01/03/2023 1517,01/03/2023 0900,01/03/2023 1518,1999  MO 52  ,TUSCUMBIA,MO,65082,,,ARREST REPORT,,ARREST,DEP. G. HESSENFLOW,,,
23-00033,01/03/2023 1407,01/03/2023 1407,01/03/2023 1444,1700  BLUE RIDGE BLVD  ,BLUE SUMMIT,MO,64126,,,FAIL TO REGISTER AS SEX OFFENDER,,INCIDENT,DEP. J. DAVIDSON,,,
23-00033,01/03/2023 1407,01/03/2023 1407,01/03/2023 1444,1700  BLUE RIDGE BLVD  ,BLUE SUMMIT,MO,64126,,,TRESPASS,90J,INCIDENT,DEP. J. DAVIDSON,,37,88
23-00033,01/03/2023 1407,01/03/2023 1407,01/03/2023 1444,1700  BLUE RIDGE BLVD  ,BLUE SUMMIT,MO,64126,,,FAIL TO REGISTER AS SEX OFFENDER,,INCIDENT,DEP. J. DAVIDSON,,,
23-00033,01/03/2023 1407,01/03/2023 1407,01/03/2023 1444,1700  BLUE RIDGE BLVD  ,BLUE SUMMIT,MO,64126,,,TRESPASS,90J,INCIDENT,DEP. J. DAVIDSON,,37,88
23-00034,01/03/2023 1621,01/03/2023 1619,01/03/2023 1622,  CALIFORNIA/CHESTNUT  ,SIBLEY,MO,64088,,,DOMESTIC ASSAULT,13B,INVESTIGATIVE,DEP. M. DAVIDSON,2,13,88
23-00034,01/03/2023 1621,01/03/2023 1619,01/03/2023 1622,  CALIFORNIA/CHESTNUT  ,SIBLEY,MO,64088,,,DOMESTIC ASSAULT,13B,INVESTIGATIVE,DEP. M. DAVIDSON,2,13,88
23-00035,01/03/2023 2100,12/20/2022 1200,01/03/2023 1945,32906 E PERRY RD  ,GRAIN VALLEY,MO,64029,,,STEALING PROPERTY-LESS THAN $50,23G,INVESTIGATIVE,DEP. N. TRASK,2,25,88
23-00035,01/03/2023 2100,12/20/2022 1200,01/03/2023 1945,32906 E PERRY RD  ,GRAIN VALLEY,MO,64029,,,STEALING PROPERTY-LESS THAN $50,23G,INVESTIGATIVE,DEP. N. TRASK,2,25,88
23-00036,01/03/2023 2226,01/03/2023 2226,01/03/2023 2315,  22/SPRING  ,BLUE SUMMIT,MO,64126,,,TOWED VEHICLE REPORT,,INCIDENT,Dep. C. McVay,4,,
23-00036,01/03/2023 2226,01/03/2023 2226,01/03/2023 2315,  22/SPRING  ,BLUE SUMMIT,MO,64126,,,TOWED VEHICLE REPORT,,INCIDENT,Dep. C. McVay,4,,
23-00037,01/04/2023 0149,01/04/2023 0000,01/04/2023 0215,12906 S GAMMON RD  ,LEES SUMMIT,MO,64086,,,INFORMATION REPORT,,INCIDENT,DEP. D. LOVE,,,
23-00037,01/04/2023 0149,01/04/2023 0000,01/04/2023 0215,12906 S GAMMON RD  ,LEES SUMMIT,MO,64086,,,INFORMATION REPORT,,INCIDENT,DEP. D. LOVE,,,
23-00038,01/04/2023 0757,01/04/2023 0757,01/04/2023 0900,  BLUE MILLS /TWYMAN  ,JACKSON COUNTY,,,,,AUTO ACCIDENT,,INCIDENT,Dep. E. Herron,,,
23-00038,01/04/2023 0757,01/04/2023 0757,01/04/2023 0900,  BLUE MILLS /TWYMAN  ,JACKSON COUNTY,,,,,AUTO ACCIDENT,,INCIDENT,Dep. E. Herron,,,
23-00039,01/04/2023 1222,01/04/2023 1222,01/04/2023 1225,10110  STONEHAUS DR  ,LEES SUMMIT,MO,64086,,,ALARM,,INCIDENT,DEP. B. SMITH,4,,
23-00039,01/04/2023 1222,01/04/2023 1222,01/04/2023 1225,10110  STONEHAUS DR  ,LEES SUMMIT,MO,64086,,,ALARM,,INCIDENT,DEP. B. SMITH,4,,
23-00040,01/04/2023 1512,01/04/2023 0900,01/04/2023 1513,200  MAIN ST  ,BOONVILLE,MO,65233,,,ARREST REPORT,,ARREST,DEP. S. VANCAMP,,,
23-00040,01/04/2023 1512,01/04/2023 0900,01/04/2023 1513,200  MAIN ST  ,BOONVILLE,MO,65233,,,ARREST REPORT,,ARREST,DEP. S. VANCAMP,,,
23-00041,01/04/2023 1525,01/04/2023 0900,01/04/2023 1525,301 E HIGH CT  ,JEFFERSON CITY,MO,65101,,,ARREST REPORT,,ARREST,DEP. S. VANCAMP,,,
23-00041,01/04/2023 1525,01/04/2023 0900,01/04/2023 1525,301 E HIGH CT  ,JEFFERSON CITY,MO,65101,,,ARREST REPORT,,ARREST,DEP. S. VANCAMP,,,
